Date,Country,City,Avg Temperature (C),Max Temperature (C),Min Temperature (C),Humidity,Air Quality Co2
2023-08-08,India,Pune,24.1,27.1,22.0,80.0,214.59583333333333
2023-08-09,India,Pune,24.2,27.5,21.9,80.0,233.1041666666667
2023-08-08,India,Bangalore,24.5,29.4,20.4,65.0,237.06666666666672
2023-08-09,India,Bangalore,24.7,30.5,20.1,64.0,275.2375
2023-08-08,India,Pune,24.1,27.1,22.0,80.0,214.59583333333333
2023-08-08,India,Bangalore,24.5,29.4,20.4,65.0,237.06666666666672
2023-08-08,India,Pune,24.1,27.1,22.0,80.0,214.59583333333333
2023-08-09,India,Pune,24.2,27.5,21.9,80.0,233.1041666666667
2023-08-08,India,Bangalore,24.5,29.4,20.4,65.0,237.06666666666672
2023-08-09,India,Bangalore,24.7,30.5,20.1,64.0,275.2375
2023-08-08,India,Pune,24.1,27.1,22.0,80.0,214.59583333333333
2023-08-09,India,Pune,24.2,27.5,21.9,80.0,233.1041666666667
2023-08-08,India,Bangalore,24.5,29.4,20.4,65.0,237.06666666666672
2023-08-09,India,Bangalore,24.7,30.5,20.1,64.0,275.2375
2023-08-08,India,Pune,24.1,27.1,22.0,80.0,214.59583333333333
2023-08-09,India,Pune,24.2,27.5,21.9,80.0,233.1041666666667
2023-08-08,India,Bangalore,24.5,29.4,20.4,65.0,237.06666666666672
2023-08-09,India,Bangalore,24.7,30.5,20.1,64.0,275.2375
2023-08-08,India,Pune,24.1,27.1,22.0,80.0,214.59583333333333
2023-08-09,India,Pune,24.2,27.5,21.9,80.0,233.1041666666667
2023-08-08,India,Bangalore,24.5,29.4,20.4,65.0,237.06666666666672
2023-08-09,India,Bangalore,24.7,30.5,20.1,64.0,275.2375
2023-08-08,India,Kalyan,27.8,30.7,26.2,75.0,309.175
2023-08-09,India,Kalyan,27.9,31.0,25.5,74.0,306.4
2023-08-08,India,Bangalore,24.7,30.0,20.4,65.0,233.87083333333337
2023-08-09,India,Bangalore,24.6,30.6,20.3,66.0,266.4041666666667
2023-08-08,India,Kalyan,27.8,30.7,26.2,75.0,309.175
2023-08-09,India,Kalyan,27.9,31.0,25.5,74.0,306.4
2023-08-08,India,Bangalore,24.7,30.0,20.4,65.0,233.87083333333337
2023-08-09,India,Bangalore,24.6,30.6,20.3,66.0,266.4041666666667
2023-08-08,India,Kalyan,27.8,30.7,26.2,75.0,309.175
2023-08-09,India,Kalyan,27.9,31.0,25.5,74.0,306.4
2023-08-08,India,Bangalore,24.7,30.0,20.4,65.0,233.87083333333337
2023-08-09,India,Bangalore,24.6,30.6,20.3,66.0,266.4041666666667
2023-08-08,India,Kalyan,27.8,30.7,26.2,75.0,309.175
2023-08-09,India,Kalyan,27.9,31.0,25.5,74.0,306.4
2023-08-08,India,Bangalore,24.7,30.0,20.4,65.0,233.87083333333337
2023-08-09,India,Bangalore,24.6,30.6,20.3,66.0,266.4041666666667
2023-08-08,India,Kalyan,27.8,30.7,26.2,75.0,309.175
2023-08-09,India,Kalyan,27.9,31.0,25.5,74.0,306.4
2023-08-08,India,Bangalore,24.7,30.0,20.4,65.0,233.87083333333337
2023-08-09,India,Bangalore,24.6,30.6,20.3,66.0,266.4041666666667
